KO	GENE
ko00010	AYCG.ctg15.80
ko00010	AYCG.ctg17.129
ko00010	AYCG.ctg9.285
ko00010	AYCG.ctg22.149
ko00010	AYCG.ctg24.131
ko00010	AYCG.ctg1394.1
ko00010	AYCG.ctg59.39
ko00010	AYCG.ctg1.150
ko00010	AYCG.ctg3.313
ko00010	AYCG.ctg25.229
ko00010	AYCG.ctg2.109
ko00010	AYCG.ctg8.9
ko00010	add.AYCG.ctg28.61
ko00010	AYCG.ctg4.534
ko00010	AYCG.ctg16.258
ko00010	AYCG.ctg27.39
ko00010	AYCG.ctg9.725
ko00010	AYCG.ctg31.18
ko00010	AYCG.ctg7.577
ko00010	add.AYCG.ctg566.1
ko00010	AYCG.ctg4.140
ko00010	AYCG.ctg34.132
ko00010	AYCG.ctg14.414
ko00010	AYCG.ctg7.518
ko00010	AYCG.ctg18.187
ko00010	AYCG.ctg7.815
ko00010	AYCG.ctg9.333
ko00010	AYCG.ctg9.693
ko00010	AYCG.ctg47.27
ko00010	AYCG.ctg17.103
ko00010	AYCG.ctg12.64
ko00010	AYCG.ctg19.162
ko00010	AYCG.ctg22.170
ko00010	AYCG.ctg10.184
ko00010	AYCG.ctg7.657
ko00010	AYCG.ctg30.92
ko00010	AYCG.ctg3.177
ko00010	AYCG.ctg17.42
ko00010	AYCG.ctg16.95
ko00010	AYCG.ctg20.390
ko00010	AYCG.ctg30.107
ko00010	AYCG.ctg22.302
ko00010	AYCG.ctg21.263
ko00010	AYCG.ctg22.251
ko00010	AYCG.ctg34.187
ko00010	AYCG.ctg18.284
ko00010	AYCG.ctg24.151
ko00010	AYCG.ctg10.35
ko00010	AYCG.ctg28.80
ko00010	AYCG.ctg64.4
ko00010	AYCG.ctg9.694
ko00010	add.AYCG.ctg31.188
ko00010	AYCG.ctg7.941
ko00010	AYCG.ctg28.91
ko00010	AYCG.ctg9.353
ko00010	AYCG.ctg23.336
ko00010	AYCG.ctg6.375
ko00010	AYCG.ctg20.58
ko00010	AYCG.ctg7.48
ko00010	AYCG.ctg22.169
ko00010	AYCG.ctg7.333
ko00010	AYCG.ctg28.11
ko00010	AYCG.ctg31.346
ko00010	AYCG.ctg19.186
ko00010	AYCG.ctg6.165
ko00010	AYCG.ctg1.207
ko00010	AYCG.ctg2.635
ko00010	AYCG.ctg7.458
ko00010	AYCG.ctg53.2
ko00010	AYCG.ctg5.1003
ko00010	AYCG.ctg22.171
ko00010	AYCG.ctg7.565
ko00010	AYCG.ctg19.30
ko00010	AYCG.ctg1.93
ko00010	AYCG.ctg7.65
ko00010	add.AYCG.ctg18.130
ko00010	AYCG.ctg2.525
ko00010	AYCG.ctg23.145
ko00010	AYCG.ctg102.5
ko00010	AYCG.ctg2.816
ko00010	AYCG.ctg7.1048
ko00010	AYCG.ctg3.418
ko00010	AYCG.ctg97.32
ko00010	AYCG.ctg9.204
ko00010	AYCG.ctg34.182
ko00010	AYCG.ctg50.95
ko00010	AYCG.ctg20.572
ko00010	AYCG.ctg5.628
ko00010	AYCG.ctg24.257
ko00010	AYCG.ctg15.109
ko00010	AYCG.ctg9.264
ko00010	AYCG.ctg13.86
ko00010	AYCG.ctg65.14
ko00010	AYCG.ctg46.41
ko00010	AYCG.ctg20.338
ko00010	AYCG.ctg16.247
