GO	GENE	CLASS
GO:0005515	AYCG.ctg5.372	molecular_function
GO:0009055	add.AYCG.ctg7.40	molecular_function
GO:0033926	AYCG.ctg11.130	molecular_function
GO:0009094	AYCG.ctg36.42	biological_process
GO:0004664	AYCG.ctg36.42	molecular_function
GO:0015031	AYCG.ctg36.176	biological_process
GO:0016020	AYCG.ctg36.176	cellular_component
GO:0044237	AYCG.ctg7.451	biological_process
GO:0003676	AYCG.ctg1.190	molecular_function
GO:0048309	AYCG.ctg21.138	biological_process
GO:0007155	AYCG.ctg21.138	biological_process
GO:0051028	AYCG.ctg21.138	biological_process
GO:0055085	AYCG.ctg21.138	biological_process
GO:0022857	AYCG.ctg21.138	molecular_function
GO:0005515	AYCG.ctg21.138	molecular_function
GO:0005886	AYCG.ctg21.138	cellular_component
GO:0046034	AYCG.ctg31.310	biological_process
GO:0005524	AYCG.ctg31.310	molecular_function
GO:0000062	AYCG.ctg40.15	molecular_function
GO:0008194	add.AYCG.ctg7.56	molecular_function
GO:0006468	add.AYCG.ctg32.90	biological_process
GO:0005515	add.AYCG.ctg32.90	molecular_function
GO:0005524	add.AYCG.ctg32.90	molecular_function
GO:0004672	add.AYCG.ctg32.90	molecular_function
GO:0016192	add.AYCG.ctg667.10	biological_process
GO:0006904	add.AYCG.ctg667.10	biological_process
GO:0006886	add.AYCG.ctg667.10	biological_process
GO:0005198	add.AYCG.ctg667.10	molecular_function
GO:0005515	add.AYCG.ctg667.10	molecular_function
GO:0000145	add.AYCG.ctg667.10	cellular_component
GO:0030126	add.AYCG.ctg667.10	cellular_component
GO:0016020	AYCG.ctg47.10	cellular_component
GO:0006413	AYCG.ctg29.142	biological_process
GO:0007155	AYCG.ctg29.142	biological_process
GO:0005515	AYCG.ctg29.142	molecular_function
GO:0005509	AYCG.ctg29.142	molecular_function
GO:0005198	AYCG.ctg29.142	molecular_function
GO:0004674	AYCG.ctg29.142	molecular_function
GO:0003723	AYCG.ctg29.142	molecular_function
GO:0003743	AYCG.ctg29.142	molecular_function
GO:0016020	AYCG.ctg29.142	cellular_component
GO:0005576	AYCG.ctg29.142	cellular_component
GO:0019028	AYCG.ctg29.142	cellular_component
GO:0019031	AYCG.ctg29.142	cellular_component
GO:0006338	AYCG.ctg21.288	biological_process
GO:0003677	AYCG.ctg21.288	molecular_function
GO:0005634	AYCG.ctg21.288	cellular_component
GO:0055085	AYCG.ctg30.30	biological_process
GO:0022857	AYCG.ctg30.30	molecular_function
GO:0004869	add.AYCG.ctg8.138	molecular_function
GO:0006367	AYCG.ctg5.920	biological_process
GO:0006352	AYCG.ctg5.920	biological_process
GO:0003677	AYCG.ctg5.920	molecular_function
GO:0006890	AYCG.ctg8.209	biological_process
GO:0006457	AYCG.ctg8.209	biological_process
GO:0048193	AYCG.ctg8.209	biological_process
GO:0006368	AYCG.ctg8.209	biological_process
GO:0051087	AYCG.ctg8.209	molecular_function
GO:0005484	AYCG.ctg8.209	molecular_function
GO:0000774	AYCG.ctg8.209	molecular_function
GO:0042803	AYCG.ctg8.209	molecular_function
GO:0016020	AYCG.ctg8.209	cellular_component
GO:0005634	AYCG.ctg8.209	cellular_component
GO:0070449	AYCG.ctg8.209	cellular_component
GO:0006508	AYCG.ctg32.229	biological_process
GO:0016787	AYCG.ctg32.229	molecular_function
GO:0008236	AYCG.ctg32.229	molecular_function
GO:0005576	AYCG.ctg32.229	cellular_component
GO:0006468	AYCG.ctg37.10	biological_process
GO:0016192	AYCG.ctg37.10	biological_process
GO:0006355	AYCG.ctg37.10	biological_process
GO:0006886	AYCG.ctg37.10	biological_process
GO:0008360	AYCG.ctg37.10	biological_process
GO:0009271	AYCG.ctg37.10	biological_process
GO:0051382	AYCG.ctg37.10	biological_process
GO:0004674	AYCG.ctg37.10	molecular_function
GO:0008855	AYCG.ctg37.10	molecular_function
GO:0051082	AYCG.ctg37.10	molecular_function
GO:0015078	AYCG.ctg37.10	molecular_function
GO:0005524	AYCG.ctg37.10	molecular_function
GO:0016020	AYCG.ctg37.10	cellular_component
GO:0033179	AYCG.ctg37.10	cellular_component
GO:0005634	AYCG.ctg37.10	cellular_component
GO:0006729	AYCG.ctg20.219	biological_process
GO:0008124	AYCG.ctg20.219	molecular_function
GO:0016887	AYCG.ctg10.515	molecular_function
GO:0005524	AYCG.ctg10.515	molecular_function
GO:0051604	AYCG.ctg29.81	biological_process
GO:0016151	AYCG.ctg29.81	molecular_function
GO:0055085	AYCG.ctg7.921	biological_process
GO:0016021	AYCG.ctg7.921	cellular_component
GO:0006468	AYCG.ctg2.651	biological_process
GO:0005524	AYCG.ctg2.651	molecular_function
GO:0004672	AYCG.ctg2.651	molecular_function
GO:0005515	AYCG.ctg34.188	molecular_function
GO:0000160	AYCG.ctg8.215	biological_process
GO:0006355	AYCG.ctg8.215	biological_process
GO:0004386	AYCG.ctg8.215	molecular_function
GO:0003677	AYCG.ctg8.215	molecular_function
GO:0016021	AYCG.ctg8.215	cellular_component
GO:0006468	AYCG.ctg33.25	biological_process
GO:0005524	AYCG.ctg33.25	molecular_function
GO:0004672	AYCG.ctg33.25	molecular_function
GO:0008168	AYCG.ctg8.123	molecular_function
GO:0007018	AYCG.ctg20.630	biological_process
GO:0008017	AYCG.ctg20.630	molecular_function
GO:0005524	AYCG.ctg20.630	molecular_function
GO:0003777	AYCG.ctg20.630	molecular_function
GO:0005515	AYCG.ctg20.630	molecular_function
GO:0055114	add.AYCG.ctg51.26	biological_process
GO:0050660	add.AYCG.ctg51.26	molecular_function
GO:0016491	add.AYCG.ctg51.26	molecular_function
GO:0005096	AYCG.ctg4.522	molecular_function
GO:0016579	AYCG.ctg15.156	biological_process
GO:0042981	AYCG.ctg15.156	biological_process
GO:0070140	AYCG.ctg15.156	molecular_function
